"id","user_id","end_date","price","created_at","refund_id","point","target_customer"
1590,9415,"2019-10-24 00:00:00",100,"2019-09-24 22:52:37.53551",NULL,NULL,"personal"
1591,9293,"2019-10-24 00:00:00",100,"2019-09-24 23:35:34.989257",NULL,NULL,"personal"
1592,6869,"2019-10-24 00:00:00",9900,"2019-09-25 07:00:07.654042",NULL,NULL,"personal"
1593,6770,"2019-10-24 00:00:00",9900,"2019-09-25 07:00:09.930779",NULL,NULL,"personal"
1594,6975,"2019-10-24 00:00:00",9900,"2019-09-25 07:00:11.082239",NULL,NULL,"personal"
1595,4484,"2019-10-24 00:00:00",9900,"2019-09-25 07:00:12.241623",NULL,NULL,"personal"
1615,2290,"2019-10-25 00:00:00",9900,"2019-09-26 14:41:31.352018",NULL,NULL,"personal"
1616,8314,"2019-10-25 00:00:00",9900,"2019-09-26 14:41:45.462685",NULL,NULL,"personal"
1617,6083,"2019-10-25 00:00:00",9900,"2019-09-26 14:41:47.348541",NULL,NULL,"personal"
1618,30,"2019-10-26 00:00:00",100,"2019-09-26 16:29:03.116161",18,0,"middleBiz"
1619,30,"2019-10-26 00:00:00",9900,"2019-09-26 16:42:16.681926",19,0,"middleBiz"
1625,9481,"2019-10-26 00:00:00",100,"2019-09-26 19:06:38.665837",NULL,NULL,"personal"
1629,9502,"2019-10-27 00:00:00",19000,"2019-09-27 01:16:13.124671",NULL,NULL,"smallBiz"
1635,5950,"2019-10-26 00:00:00",40000,"2019-09-27 07:00:07.124135",NULL,NULL,"smallBiz"
1636,7026,"2019-10-26 00:00:00",9900,"2019-09-27 07:00:20.857878",NULL,NULL,"personal"
1637,8330,"2019-10-26 00:00:00",9900,"2019-09-27 07:00:22.401845",NULL,NULL,"personal"
1639,8201,"2019-10-27 00:00:00",100,"2019-09-27 14:40:45.419328",NULL,NULL,"personal"
1642,9515,"2019-10-27 00:00:00",100,"2019-09-27 14:56:44.510342",NULL,NULL,"personal"
1654,9524,"2019-10-27 00:00:00",100,"2019-09-27 20:47:45.257543",NULL,NULL,"personal"
1664,9529,"2019-10-27 00:00:00",100,"2019-09-27 23:15:28.629238",NULL,NULL,"personal"
1681,6989,"2019-10-27 00:00:00",9900,"2019-09-28 07:00:15.603171",NULL,NULL,"personal"
1682,8396,"2019-10-27 00:00:00",9900,"2019-09-28 07:00:20.360306",NULL,NULL,"personal"
1683,9558,"2019-10-28 00:00:00",100,"2019-09-28 18:00:07.068373",NULL,NULL,"personal"
1731,8426,"2019-10-28 00:00:00",9900,"2019-09-29 07:00:07.404025",NULL,NULL,"personal"
1789,8960,"2019-10-29 00:00:00",100,"2019-09-29 18:14:09.008549",NULL,NULL,"personal"
1802,9618,"2019-10-29 00:00:00",100,"2019-09-29 20:58:03.707448",NULL,NULL,"personal"
1822,8473,"2019-10-29 00:00:00",9900,"2019-09-30 07:00:08.799203",NULL,NULL,"personal"
1832,9640,"2019-10-30 00:00:00",100,"2019-09-30 14:02:36.025884",NULL,NULL,"personal"
1847,8621,"2019-10-30 00:00:00",100,"2019-09-30 15:25:46.820116",NULL,NULL,"personal"
1910,9599,"2019-11-01 00:00:00",100,"2019-10-01 03:05:38.618594",NULL,NULL,"personal"
1916,9655,"2019-11-01 00:00:00",100,"2019-10-01 13:28:19.399114",NULL,NULL,"personal"
1925,9699,"2019-11-01 00:00:00",100,"2019-10-01 18:43:08.652718",NULL,NULL,"personal"
1942,6241,"2019-11-01 00:00:00",9900,"2019-10-02 07:00:11.770318",NULL,NULL,"personal"
1943,7198,"2019-11-01 00:00:00",9900,"2019-10-02 07:00:13.594069",NULL,NULL,"personal"
1944,7239,"2019-11-01 00:00:00",9900,"2019-10-02 07:00:15.313305",NULL,NULL,"personal"
1995,9760,"2019-11-02 00:00:00",100,"2019-10-02 19:42:23.23245",NULL,NULL,"personal"
1998,9761,"2019-11-02 00:00:00",100,"2019-10-02 20:01:35.257965",NULL,NULL,"personal"
2005,9544,"2019-11-03 00:00:00",100,"2019-10-03 02:05:43.739325",NULL,NULL,"personal"
2021,6235,"2019-11-02 00:00:00",9900,"2019-10-03 07:00:10.63824",NULL,NULL,"personal"
2022,256,"2019-11-02 00:00:00",9900,"2019-10-03 07:00:11.993566",NULL,NULL,"personal"
2023,8560,"2019-11-02 00:00:00",9900,"2019-10-03 07:00:13.591866",NULL,NULL,"personal"
2024,8561,"2019-11-02 00:00:00",9900,"2019-10-03 07:00:14.851251",NULL,NULL,"personal"
2025,8573,"2019-11-02 00:00:00",9900,"2019-10-03 07:00:16.534971",NULL,NULL,"personal"
2026,9774,"2019-11-03 00:00:00",100,"2019-10-03 09:29:58.199563",NULL,NULL,"personal"
2112,9784,"2019-11-03 00:00:00",100,"2019-10-03 16:03:51.040253",NULL,NULL,"personal"
2123,9787,"2019-11-03 00:00:00",100,"2019-10-03 16:40:54.220281",NULL,NULL,"personal"
2125,9785,"2019-11-03 00:00:00",100,"2019-10-03 17:00:00.152022",NULL,NULL,"personal"
2132,9788,"2019-11-03 00:00:00",100,"2019-10-03 18:17:10.280245",NULL,NULL,"personal"
2154,6279,"2019-11-03 00:00:00",9900,"2019-10-04 07:00:08.67931",NULL,NULL,"personal"
2155,8604,"2019-11-03 00:00:00",9900,"2019-10-04 07:00:10.040737",NULL,NULL,"personal"
